347,361,309,241,56,277,411,79,87,236,16,32,295,221,434,288,333,470,116,184
167,202,452,4,28,442,54,22,314,402,39,47,223,484,124,92,99,382,463,284
138,481,171,376,468,49,363,410,181,139,332,137,64,134,2,319,303,73,175,141
186,282,292,72,239,397,53,475,375,425,325,176,384,160,274,188,12,75,245,46
297,404,322,170,494,472,15,7,497,405,218,473,447,383,485,246,182,498,275,339
172,173,320,85,398,466,254,421,10,234,341,345,86,269,328,267,13,222,185,122
406,386,36,243,462,190,469,76,343,209,24,125,418,349,307,489,228,355,191,140
208,312,110,33,270,449,441,357,189,337,242,51,213,283,11,486,195,5,119,336
393,276,42,71,214,305,310,331,272,212,311,346,359,232,268,394,105,135,114,423
244,302,210,407,97,44,132,306,0,224,437,293,439,422,63,144,444,227,19,476
